# Section: Map of shellfish aquaculture in British Columbia
# Caption: Shellfish aquaculture facilities in British Columbia
# Rows: 462
"Facility reference number","Licence type","Licence holder","Facility common names","Latitude","Longitude"
"993","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Fanny Bay, Baynes Sound","49.50407","-124.81160"
"996","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Baynes Sound","49.54698","-124.83779"
"999","Shellfish facility","Baynes Sound Oyster Co. Ltd.","West side of Hornby Island","49.51908","-124.70755"
"1000","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Henry Bay, West Denman Island","49.59744","-124.83586"
"1001","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Baynes Sound","49.58829","-124.83846"
"1002","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Baynes Sound","49.56971","-124.84303"
"1004","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Denman Point, Denman Island, Baynes Sound","49.55945","-124.84681"
"1005","Shellfish facility","Baynes Sound Oyster Co. Ltd.","Baynes Sound","49.56832","-124.87630"
"1007","Shellfish facility","Taylor Shellfish Canada ULC","Trevenen Bay, Malaspina Inlet","50.02193","-124.74207"
"1009","Shellfish facility","Super Shell Enterprises Ltd","Trevenen Bay","50.02956","-124.75303"
"1010","Shellfish facility","British Coastal Bi Valve + Ltd","Trevenen Bay","50.03641","-124.76499"
"1012","Shellfish facility","Twin Islands Aquaculture Ltd.","Twin Islands","50.03158","-124.93385"
"1013","Shellfish facility","Ian D. Winter","Gorge Harbour, Cortes Island","50.10156","-125.03044"
"1014","Shellfish facility","Ian D. Winter","Pill Island, Gorge Harbour, Cortes Island","50.10047","-124.99357"
"1015","Shellfish facility","Lasqueti Island Seafoods Ltd.","SE Wells Point, Tucker Bay, Lasqueti Is.","49.50257","-124.27685"
"1018","Shellfish facility","Mary McLellan and Pamela McLellan","Denman Island","49.56628","-124.84392"
"1019","Shellfish facility","Timothy Oyster Co. Ltd.","Ladysmith Harbour, Sibell Bay","48.98991","-123.77835"
"1024","Shellfish facility","Robert Paquin and Ray Bloomquist","Okeover Inlet","49.98987","-124.69171"
"1029","Shellfish facility","Nootka Sound Shellfish Ltd.","Hanna Channel, Nootka Sound","49.67728","-126.47509"
"1030","Shellfish facility","Cooper's Cove Oyster Farm Ltd.","Phipps Point, Hornby Island","49.53756","-124.71266"
"1050","Shellfish facility","Nootka Sound Shellfish Ltd.","Plumper Harbour, Kendrick Inlet, Nootka Sound","49.69642","-126.63598"
"1054","Shellfish facility","Shayne Sadler and S&H Mariculture Ltd.","N. of Adventure Cove, Lemmens Inlet","49.21164","-125.84134"
"1071","Shellfish facility","Skaiakos Point Oysters Inc","Sechelt Inlet","49.57225","-123.81386"
"1119","Shellfish facility","Lucky 1's Oyster Co. Ltd.","Nanoose Bay","49.26929","-124.16661"
"1121","Shellfish facility","Katherine Mclaggan and Stuart Victor Mclaggan","N. of Quartz Bay, Cortes Island","50.17448","-124.98532"
"1132","Shellfish facility","Webster Isle Transport Ltd.","Effingham Inlet","49.00372","-125.19246"
"1155","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","Fanny Bay, West of Ship Point","49.50626","-124.81534"
"1163","Shellfish facility","377333 British Columbia Ltd.","Baynes Sound","49.54296","-124.85561"
"1177","Shellfish facility","401619 British Columbia Ltd.","East of Mud Bay, Baynes Sound","49.47382","-124.76441"
"1186","Shellfish facility","Granscal Sea Farms Ltd.","Kanish Bay, Quadra Island","50.24669","-125.32619"
"1202","Shellfish facility","Taylor Shellfish Canada ULC","NE of Church Point","50.19195","-124.77058"
"1204","Shellfish facility","Edward A Woodard","Moon Bay, Agamemnon Channel","49.67194","-124.08610"
"1216","Shellfish facility","Happy As A Clam Shellfish Ltd.","Bay at northern end of Twin Islands","50.04054","-124.96524"
"1218","Shellfish facility","Theodosia Seafoods Inc.","Theodosia Inlet","50.06648","-124.69456"
"1235","Shellfish facility","Taylor Shellfish Canada ULC","S. End Okeover Inlet","49.96580","-124.68312"
"1247","Shellfish facility","Snuneymuxw First Nation","Dodd Narrows","49.12379","-123.80647"
"1251","Shellfish facility","Snuneymuxw First Nation","Stuart Channel, Mudge Island","49.12915","-123.79612"
"1253","Shellfish facility","Snuneymuxw First Nation","Degnen Bay, Gabriola Island","49.13156","-123.71553"
"1261","Shellfish facility","Odyssey Shellfish Ltd.","Deep Bay, Baynes Sound","49.46040","-124.74417"
"1276","Shellfish facility","Kristen L. Scholfield-Sweet and John Shook","Plunger Passage, Cortes Island","50.12152","-125.05687"
"1310","Shellfish facility","Island Scallops Ltd.","East of Bowser","49.44533","-124.65461"
"1328","Shellfish facility","Effingham Shellfish Producers Inc.","Effingham Inlet, Near Webster Island","49.00748","-125.16938"
"1337","Shellfish facility","Snuneymuxw First Nation","False Narrows Between Gabriola and Mudge Islands","49.13040","-123.77047"
"1373","Shellfish facility","Island Sea Farms Inc.","Fredric Bay, Read Island","50.18711","-125.05011"
"1396","Shellfish facility","Benjamin Michael Rendall","Deadman Island, Uganda Passage","50.07853","-125.00153"
"1405","Shellfish facility","Fan Seafoods Limited","Crescent Bay, Texada Island","49.76868","-124.62691"
"1411","Shellfish facility","Oh La La Oyster Corporation - Inc","Okeover Inlet","49.98725","-124.70447"
"1415","Shellfish facility","Colin Calvert","Fidalgo Passage, Bligh Island","49.65604","-126.54309"
"1428","Shellfish facility","Tammy Nguyen, Bonne Le, Tuan Anh Le and John J. Le","Mud Bay, Baynes Sound","49.48413","-124.79233"
"1429","Shellfish facility","Matthew Daniel Carey","NE side of Marina Island","50.07708","-125.03615"
"1441","Shellfish facility","Fan Seafoods Limited","Marina Island, NE of Marina Reef","50.04359","-125.04901"
"1443","Shellfish facility","Fan Seafoods Limited","S.W. Marina Island","50.04920","-125.05935"
"1477","Shellfish facility","Fan Seafoods Limited","South of Savary Island","49.93190","-124.79948"
"1478","Shellfish facility","Fan Seafoods Limited","North of Savary Island","49.95029","-124.81368"
"1487","Shellfish facility","1109276 B.C. LTD.","Okeover Inlet","49.97162","-124.68016"
"1488","Shellfish facility","Fan Seafoods Limited","Thorp Island, Malaspina Inlet","50.05146","-124.78872"
"1489","Shellfish facility","Red Star Seafoods Ltd.","Okeover Inlet","50.02907","-124.71848"
"1491","Shellfish facility","Chuong Huynh, Luan Van Nguyen, Tham Thi Hong Le and Nhan Thi Kim Nguyen","SW of Deep Bay, Vancouver Island","49.46141","-124.75312"
"1495","Shellfish facility","Lucky 7's Oyster Co. Ltd.","Near Denman Pt., Denman Island, Baynes Sound","49.55031","-124.84397"
"1517","Shellfish facility","Pacific Northwest Shellfish Company Ltd.","Fanny Bay, Baynes Sound","49.50516","-124.82192"
"1522","Shellfish facility","Taylor Shellfish Canada ULC","Trevenan Bay","50.01781","-124.73812"
"1523","Shellfish hatchery","Island Sea Farms Inc.","Trincomali Channel","48.89800","-123.51100"
"1543","Shellfish facility","Klahoose Shellfish Ltd. Partnership","W. end of Talbot Cove in Teakerne Arm","50.17168","-124.88811"
"1546","Shellfish facility","Sheila Nilsson and Roland Nilsson","Nanoose Bay, Lot 119","49.25591","-124.17191"
"1549","Shellfish facility","Dao Thi Pham and Sinh T. Phuong","Coulter Bay, Cortes Island","50.13135","-125.04669"
"1553","Shellfish facility","William Robert Mounce","Humpback Bay, NE Porcher Island","54.08656","-130.39259"
"1556","Shellfish facility","Richard Lozon","Skidegate Inlet, Kagen Bay at Scalus Is.","53.20284","-132.22332"
"1560","Shellfish facility","Khuynh Van Nguyen","Denman Island, Baynes Sound","49.54105","-124.83193"
"1572","Shellfish facility","Joanne Mccoy and Dale Mccoy","East Marina Island","50.07436","-125.03368"
"1582","Shellfish hatchery","1195895 B.C. Ltd","Cedar, South of Nanaimo","49.10100","-123.80100"
"1584","Shellfish facility","Totem Sea Farm Inc.","St. Vincent Bay, Jervis Inlet","49.83453","-124.05347"
"1605","Shellfish facility","Yves Page","Kinghorn Island","50.08192","-124.83902"
"1606","Shellfish facility","Oltabi Shellfish Co. Ltd.","Lloyd Creek, Homfray Channel","50.19794","-124.60826"
"1607","Shellfish facility","Aphrodite's Garden Oyster Company","Trevenen Bay, Coode Peninsula, Okeover Inlet","50.01723","-124.73612"
"1612","Shellfish facility","Shoreline Seafood Ltd.","Denman Island, Baynes Sound","49.53140","-124.81597"
"1617","Shellfish hatchery","Manatee Holdings Ltd.","Gartley Point","49.64195","-124.92403"
"1622","Shellfish facility","Huu-ay-aht First Nation","Numukamis Bay","48.90586","-125.01308"
"1629","Shellfish facility","Huu-ay-aht First Nation","Poett Nook, Numukamis Bay","48.87809","-125.05119"
"1636","Shellfish facility","Toquart Bay Shellfish Ltd.","N/W Side of Stopper Island, Toquart Bay","49.00468","-125.34855"
"1637","Shellfish facility","Toquart Bay Shellfish Ltd.","N/E Side of N. Stopper Island, Toquart Bay","49.00393","-125.33962"
"1638","Shellfish facility","Canadian Benthic Limited","West Side of Effingham Inlet, Eastern Barkley Sound","49.01525","-125.17919"
"1641","Shellfish facility","Toquaht Management Ltd","Bazett Island, Toquart Bay","49.01767","-125.30746"
"1657","Shellfish facility","R & N Resources Ltd. and 167432 BC Ltd.","Pinkerton Islands","48.95643","-125.27707"
"1662","Shellfish facility","Halalt First Nation","Halalt Island","48.89369","-123.65594"
"1688","Shellfish facility","Toquaht Management Ltd","Refuge Island, Toquart Bay","49.02503","-125.30832"
"1707","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","Cachalot Inlet","49.99827","-127.14273"
"1708","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","Cachalot Inlet","49.99792","-127.13213"
"1709","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","Malksope Inlet","50.13624","-127.42556"
"1710","Shellfish facility","Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nation","Malksope Inlet","50.12588","-127.43555"
"1712","Shellfish facility","Tla'amin Nation","West side of Okeover Inlet","49.97716","-124.69250"
"1716","Shellfish facility","Tla'amin Nation","South end of Theodosia Arm","50.07463","-124.66514"
"1717","Shellfish facility","Tla'amin Nation","Thors Cove, Lancelot Inlet","50.06007","-124.70019"
"1718","Shellfish facility","Tla'amin Nation","East side of Okeover Inlet","49.97527","-124.67930"
"1721","Shellfish facility","Tla'amin Nation","Head of Okeover Inlet","49.96642","-124.67919"
"1722","Shellfish facility","Tla'amin Nation","Theodosia Arm - Okeover Inlet","50.07890","-124.66379"
"1723","Shellfish facility","Tla'amin Nation","Lancelot Inlet","50.04039","-124.71285"
"1728","Shellfish facility","Penelakut Seafoods Incorporated","""The Cut"", Clam Bay, Penelakut Island","48.98239","-123.66272"
"1729","Shellfish facility","Penelakut Seafoods Incorporated","Houston Passage, Penelakut Island","48.95130","-123.62669"
"1730","Shellfish facility","Penelakut Seafoods Incorporated","Lamalchi Bay, Penelakut Island","48.94076","-123.63991"
"1736","Shellfish facility","Toquaht Management Ltd","Toquart Bay","49.03774","-125.34738"
"1744","Shellfish facility","Nuchatlaht Tribe","Espinosa Inlet","49.98640","-126.94236"
"1747","Shellfish facility","Pentlatch Seafoods Ltd.","Kw'ulh - Seal Islets","49.63278","-124.86422"
"1751","Shellfish facility","Nuchatlaht Tribe","Espinosa Inlet","49.97481","-126.94303"
"1752","Shellfish facility","Nuchatlaht Tribe","McBride Bay","49.85441","-126.70382"
"1753","Shellfish facility","Stz'uminus First Nation","Ladysmith Harbour","49.01785","-123.84334"
"1766","Shellfish facility","Pentlatch Seafoods Ltd.","Ihet'lha7t'ay - Gartley Point, Baynes Sound","49.63943","-124.91986"
"1767","Shellfish facility","Pentlatch Seafoods Ltd.","Chich7atixw - Coal Beds, Union Point, Baynes Sound","49.59692","-124.88740"
"1768","Shellfish facility","Pentlatch Seafoods Ltd.","T'amxwayksen - Base Flats, Baynes Sound","49.52442","-124.84312"
"1771","Shellfish facility","Super Shell Enterprises Ltd","Okeover Inlet, Malaspina Inlet","49.98969","-124.69452"
"1772","Shellfish facility","Dao Thi Pham and Sinh T. Phuong","Coulter Bay, Cortes Island","50.12886","-125.04533"
"1781","Shellfish facility","Taylor Shellfish Canada ULC","Mud Bay, Nanaimo District","49.47477","-124.78469"
"1787","Shellfish facility","Pentlatch Seafoods Ltd.","Akwt - Comox Harbour, Baynes Sound","49.66785","-124.91685"
"1788","Shellfish facility","Pentlatch Seafoods Ltd.","Jaji7em - Sandy Island #4","49.62083","-124.84716"
"1791","Shellfish facility","David Leslie Planes","Hutchinson Cove, Sooke Basin","48.38815","-123.63534"
"1793","Shellfish facility","Granscal Sea Farms Ltd.","Easternmost Chained Island, Kanish Bay","50.24967","-125.33595"
"1794","Shellfish facility","Limberis Seafoods Ltd.","Ladysmith Harbour","49.01343","-123.83553"
"1798","Shellfish facility","Nootka Sound Shellfish Ltd.","Kendrick Creek","49.72601","-126.64394"
"1803","Shellfish facility","Roderick S. Vowles, Wayne D. Vowles and Holly L. Vowles","Near Whiffen Spit, Sooke Harbour","48.36313","-123.73111"
"1804","Shellfish facility","Fu Hua Seafoods","Mud Bay, Baynes Sound","49.47742","-124.78831"
"1817","Shellfish facility","T'Sou-ke Nation","Roche Cove","48.37065","-123.62565"
"1818","Shellfish facility","T'Sou-ke Nation","Pim Head, Sooke Basin","48.36495","-123.66480"
"1819","Shellfish facility","T'Sou-ke Nation","Sooke Basin","48.38051","-123.68852"
"1820","Shellfish facility","T'Sou-ke Nation","Wickoms, Sooke Basin","48.38494","-123.68521"
"1826","Shellfish facility","Vancouver Island University","Deep Bay, Baynes Sound","49.46171","-124.73277"
"1829","Shellfish facility","Troy James Hutchings","Okeover Inlet","49.98875","-124.69037"
"1831","Shellfish facility","Cleanwater Shellfish Ltd.","Smith Inlet","51.30794","-127.53064"
"1836","Shellfish facility","Halalt First Nation","South of Willy's Island, Stuart Channel","48.88803","-123.64845"
"1845","Shellfish facility","Klahoose Shellfish Limited Partnership","Turn Point, Cortes Island","50.06472","-124.88020"
"1848","Shellfish facility","Klahoose Shellfish Limited Partnership","Goldmine Beach, Cortes Island","50.06523","-124.90722"
"1850","Shellfish facility","Sinh Thi Tran and Tan Van Tran","Denman Island, Baynes Sound","49.52149","-124.80059"
"1852","Shellfish facility","Richard Stanley Fair","NE Hardy Island, Jervis Inlet","49.75543","-124.15792"
"1853","Shellfish facility","Fan Seafoods Limited","Savary Island, Strait of Georgia","49.92913","-124.79981"
"1864","Shellfish facility","Granscal Sea Farms Ltd.","Kanish Bay, Quadra Island","50.25686","-125.33372"
"1869","Shellfish facility","Pentlatch Seafoods Ltd.","Ihet'lha7t'ay - Royston","49.64912","-124.94048"
"1871","Shellfish facility","Manatee Holdings Ltd.","West of Savary Island, Strait of Georgia","49.93462","-124.87214"
"1878","Shellfish facility","Argosy Sea Farms Ltd.","Squirrel Cove, Cortes Island","50.10423","-124.90251"
"1879","Shellfish facility","UHA Research Society","Hernando Island, Strait of Georgia","49.96783","-124.93405"
"1880","Shellfish facility","Klahoose Shellfish Limited Partnership","Squirrel Cove, Cortes Island","50.13563","-124.93139"
"1882","Shellfish facility","Lorindale Holdings Ltd.","Deep Bay, Baynes Sound","49.45894","-124.73335"
"1883","Shellfish facility","Henry Matti Syrjala and Glenda Faye Syrjala","McBride Bay","51.30325","-127.53261"
"1885","Shellfish facility","Stz'uminus First Nation","Ladysmith Harbour","49.02256","-123.84818"
"1916","Shellfish facility","Gwaalagaa Naay Corporation","Skidegate Inlet, vicinity Burnt Island","53.22006","-132.15447"
"1921","Shellfish facility","Snaw'naw'as Aquaculture Ventures Inc.","Maelstrom Cove, Nanoose Bay","49.27170","-124.17232"
"1922","Shellfish facility","Snaw'naw'as Aquaculture Ventures Inc.","Nanoose Bay","49.26341","-124.18368"
"1923","Shellfish facility","Snaw'naw'as Aquaculture Ventures Inc.","Nanoose Bay, Lot 464","49.25601","-124.12411"
"1928","Shellfish facility","Westbeach Shellfish Ltd.","S.W. Deep Bay, Baynes Sound","49.46221","-124.74748"
"1931","Shellfish facility","Halalt Shellfish Development Corporation","North end of Willy Island","48.90780","-123.67679"
"1933","Shellfish facility","Cape Mudge Indian Band","Sutil Channel, South of Rebecca Spit","50.08757","-125.16784"
"1942","Shellfish facility","Snaw'naw'as Aquaculture Ventures Inc.","Nanoose Bay, East of Eby Road","49.25550","-124.10209"
"1947","Shellfish facility","Pacific Aquaculture International Inc.","Malaspina Inlet/Thorpe Island","50.04824","-124.78455"
"1968","Shellfish facility","Nicalena P Chidley","Crowther Channel","50.04043","-127.27760"
"1976","Shellfish facility","Pentlatch Seafoods Ltd.","Xelikw - Henry Bay, Denman Island, Baynes Sound","49.58989","-124.84282"
"6667","Shellfish hatchery","Nova Harvest Ltd.","Bamfield","48.83195","-125.13608"
"6669","Shellfish facility","Klahoose Shellfish Limited Partnership","Gorge Harbour, Cortes Island","50.09703","-124.99367"
"6674","Shellfish facility","Metlakatla Development Corporation","Wolfe Island","54.32000","-130.38000"
"6675","Shellfish facility","Madrona Shellfish Ltd.","Nanoose Bay","49.26494","-124.16995"
"6690","Shellfish hatchery","Super Shell Enterprises Ltd","Trevenen Bay","50.02800","-124.75300"
"6699","Shellfish facility","Peter Kinver","Evans Bay, Read Island","50.20642","-125.08624"
"6701","Shellfish facility","Venh Sui Hoong","Metcalfe Bay, Denman Island, Baynes Sound","49.50645","-124.77379"
"6704","Shellfish facility","Henry Matti Syrjala and Glenda Faye Syrjala","Margaret Bay","51.33480","-127.49967"
"6710","Shellfish facility","Tla'amin Nation","SE Harwood Island","49.84189","-124.64717"
"6711","Shellfish facility","0997211 B.C. LTD.","Treadwell Bay","51.09956","-127.53786"
"6712","Shellfish facility","Maplestar Seafood Ltd.","Nanoose Bay","49.25675","-124.17713"
"6715","Shellfish facility","Maplestar Seafood Ltd.","Nanoose Bay","49.25901","-124.17021"
"6718","Shellfish hatchery","Seed Science Ltd.","2678 Munroe Rd, Nanaimo","49.18940","-124.02420"
"6720","Shellfish facility","Metlakatla Development Corporation","Digby Island, Chatham Sound","54.25567","-130.45517"
"6723","Shellfish facility","Klahoose Shellfish Limited Partnership","West Redonda Island","50.15170","-124.87245"
"6726","Shellfish facility","T'Sou-ke Nation","Central Sooke Basin","48.37841","-123.65947"
"6727","Shellfish facility","Klahoose Shellfish Limited Partnership","Squirrel Cove","50.13653","-124.92178"
"6728","Shellfish facility","Haida Enterprise Corporation","Legace Island","53.21167","-132.18383"
"6733","Shellfish hatchery","Vancouver Island University","Deep Bay Marine Field Station","49.45592","-124.73504"
"6794","Shellfish facility","Emerald Sea Farms Ltd.","Cape Cockburn Site 2","49.66526","-124.17197"
"6814","Shellfish facility","Island Shellfish Ltd.","Union Bay, Baynes Sound","49.55642","-124.86566"
"6815","Shellfish facility","Emerald Sea Farms Ltd.","Cape Cockburn Site 1","49.66967","-124.18717"
"6854","Shellfish facility","T'Sou-ke Nation","Anderson Cove, Sooke Basin","48.36090","-123.65922"
"7013","Shellfish facility","Tla'amin Nation","Cannery Bay Water Site","49.97498","-124.69043"
"7233","Shellfish facility","Penelakut Seafoods Incorporated","Clam Bay - NE of Penelakut Island","48.98221","-123.64421"
"7253","Shellfish facility","Odyssey Shellfish Ltd.","Deep Bay Harbour, Baynes Sound","49.46040","-124.74417"
"7373","Shellfish facility","Baynes Sound Oyster Co. Ltd.","5848 Island Hwy South, Union Bay","49.5670433","-124.87627"
"7553","Shellfish facility","Thuy'She'Num Property Management Limited Partnership","Burleith Arm, Ladysmith Harbour","49.48333","-124.75000"
"7554","Shellfish facility","Thuy'She'Num Property Management Limited Partnership","Dunsmuir Island, Ladysmith Harbour","48.99302","-123.79143"
"7555","Shellfish facility","Thuy'She'Num Property Management Limited Partnership","NW of Bute Island, Ladysmith Harbour","48.99692","-123.79228"
"7593","Shellfish hatchery","Hummingbird Cove Lifestyles Ltd","Hummingbird Cove, BC","49.78255","-124.18508"
"7853","Shellfish facility","Hollie Wood Oysters Ltd","Hollie Wood Oysters Nursery - Fanny Bay","49.50755","-124.82792"
"8133","Shellfish facility","Mac's Oysters Ltd.","Fanny Bay Wharf","49.50756","-124.82737"
"8273","Shellfish facility","Paradise Oyster Company Ltd.","Deep Bay Harbour Marina FLUPSY","49.48302","-124.68545"
"9129","Shellfish facility","T'Sou-ke Nation","Possession Point, Sooke, BC","48.34098","-123.71625"
"9149","Shellfish facility","Penelakut Seafoods Incorporated","Booth Bay","48.86797","-123.55016"
"9189","Shellfish facility","Halong Oysters Ltd","Fanny Bay Wharf","49.50816","-124.82764"
"9209","Shellfish facility","Metlakatla Development Corporation","Pike Island","54.31278","-130.47873"
"9249","Shellfish facility","Klahoose Shellfish Limited Partnership","Baker Passage","50.00200","-124.93258"
"9289","Shellfish facility","Abrupt Shellfish Inc.","Preedy Harbour west","48.97835","-123.68996"
"9589","Shellfish facility","Metlakatla Development Corporation","Naden Islets","54.37301","-130.26996"
"9590","Shellfish facility","Toquaht Nation","Macoah Passage","49.0006","-125.36658"
"9710","Shellfish facility","Pentlatch Seafoods Ltd.","Comox Harbour (FLUPSY)","49.66836","-124.92537"
"10090","Shellfish facility","Pentlatch Seafoods Ltd.","Jaji7em - Sandy Island #1","49.62395","-124.85564"
"10091","Shellfish facility","Pentlatch Seafoods Ltd.","Jaji7em - Sandy Island #2","49.62205","-124.86308"
"10092","Shellfish facility","Pentlatch Seafoods Ltd.","Jaji7em - Sandy Island #3","49.61995","-124.86452"
"10290","Shellfish facility","KCFN Fisheries Enterprises Inc.","Amai Inlet","50.02835","-127.08433"
"12610","Shellfish facility","Strategic Shellfish Ltd.","Fanny Bay Wharf","49.50805","-124.82767"
